firm_id int, firm_name varchar(100), firm_url varchar(300), site_status int, ceo_name varchar(50), settling_day date, exective_name1 varchar(50), exective_name2 varchar(50), exective_name3 varchar(50), exective_name4 varchar(50), exective_name5 varchar(50), exective_name6 varchar(50), exective_name7 varchar(50), exective_name8 varchar(50), exective_name9 varchar(50), exective_name10 varchar(50), exective_name11 varchar(50), exective_name12 varchar(50), exective_name13 varchar(50), exective_name14 varchar(50), exective_name15 varchar(50), ir_url varchar(300), ceo_face_pic_url varchar(300), done int
1491,中外鉱業,,,,,,,,,,,,,,,,,,,,,,1
1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信,,,,,,,,,,,,,,,,,,,,,,1
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,,,,,,,,,,,,,,,,,,,,,,1
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,,,,,,,,,,,,,,,,,,,,,,1
1495,上場インデックスファンドアジアリート,,,,,,,,,,,,,,,,,,,,,,1
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,,,,,,,,,,,,,,,,,,,,,,1
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,,,,,,,,,,,,,,,,,,,,,,1
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,,,,,,,,,,,,,,,,,,,,,,1
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,,,,,,,,,,,,,,,,,,,,,,1
1514,住石ホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1515,日鉄鉱業,,,,,,,,,,,,,,,,,,,,,,1
1518,三井松島ホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1540,純金上場信託（現物国内保管型）,,,,,,,,,,,,,,,,,,,,,,1
1541,純プラチナ上場信託（現物国内保管型）,,,,,,,,,,,,,,,,,,,,,,1
1542,純銀上場信託（現物国内保管型）,,,,,,,,,,,,,,,,,,,,,,1
1543,純パラジウム上場信託（現物国内保管型）,,,,,,,,,,,,,,,,,,,,,,1
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,,,,,,,,,,,,,,,,,,,,,,1
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1551,ＪＡＳＤＡＱ－ＴＯＰ２０上場投信,,,,,,,,,,,,,,,,,,,,,,1
1552,国際のＥＴＦ　ＶＩＸ短期先物指数,,,,,,,,,,,,,,,,,,,,,,1
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,,,,,,,,,,,,,,,,,,,,,,1
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）,,,,,,,,,,,,,,,,,,,,,,1
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,,,,,,,,,,,,,,,,,,,,,,1
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1563,マザーズ・コア上場投信,,,,,,,,,,,,,,,,,,,,,,1
1566,上場インデックスファンド新興国債券,,,,,,,,,,,,,,,,,,,,,,1
1567,ＭＡＸＩＳトピックスリスクコントロール（５％）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1568,ＴＯＰＩＸブル２倍上場投信,,,,,,,,,,,,,,,,,,,,,,1
1569,ＴＯＰＩＸベア上場投信,,,,,,,,,,,,,,,,,,,,,,1
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1572,中国Ｈ株ブル２倍上場投信,,,,,,,,,,,,,,,,,,,,,,1
1573,中国Ｈ株ベア上場投信,,,,,,,,,,,,,,,,,,,,,,1
1574,ＭＡＸＩＳトピックスリスクコントロール（１０％）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1575,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄｅｘ　ＥＴＦ－ＪＤＲ,,,,,,,,,,,,,,,,,,,,,,1
1576,南方　ＦＴＳＥ　中国Ａ株５０　ＥＴＦ,,,,,,,,,,,,,,,,,,,,,,1
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1578,上場インデックスファンド日経２２５（ミニ）,,,,,,,,,,,,,,,,,,,,,,1
1579,日経平均ブル２倍上場投信,,,,,,,,,,,,,,,,,,,,,,1
1580,日経平均ベア上場投信,,,,,,,,,,,,,,,,,,,,,,1
1584,サムスンＫＯＤＥＸサムスングループ株証券上場指数投資信託［株式］,,,,,,,,,,,,,,,,,,,,,,1
1585,ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,,,,,,,,,,,,,,,,,,,,,,1
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,,,,,,,,,,,,,,,,,,,,,,1
